epoch,n_box,n_dfl,s_box,s_dfl,m_box,m_dfl,l_box,l_dfl,x_box,x_dfl
164,0.77907,0.94601,0.59798,0.8927,0.49697,0.87163,0.43839,0.86594,0.41049,0.85496
165,0.79686,0.95282,0.60862,0.89361,0.4887,0.86799,0.42578,0.86328,0.4022,0.8566
166,0.80869,0.9588,0.62337,0.89926,0.47821,0.86196,0.41823,0.86151,0.3961,0.85375
167,0.79017,0.94498,0.6076,0.8904,0.48336,0.86856,0.42936,0.86666,0.40224,0.85867
168,0.79366,0.94894,0.60852,0.89156,0.48972,0.86978,0.42823,0.86562,0.40281,0.85674
169,0.78902,0.94771,0.59724,0.88897,0.48376,0.86652,0.42693,0.86766,0.39619,0.8558
170,0.78816,0.94778,0.59974,0.89171,0.48226,0.86364,0.41936,0.85894,0.39814,0.85422
171,0.77281,0.94365,0.59602,0.88739,0.47812,0.85924,0.42142,0.85561,0.39763,0.85229
172,0.77166,0.94662,0.58273,0.88745,0.48354,0.86747,0.42444,0.86365,0.39292,0.85806
173,0.78039,0.94013,0.5876,0.88255,0.4809,0.86826,0.42156,0.86814,0.39474,0.86289
174,0.76927,0.9404,0.59596,0.8867,0.48645,0.86546,0.41347,0.85701,0.40106,0.85645
175,0.77278,0.94148,0.59195,0.88684,0.47745,0.86088,0.42066,0.85824,0.39484,0.85101
176,0.77415,0.94693,0.59274,0.89064,0.47713,0.86652,0.41756,0.86239,0.39305,0.85754
177,0.78374,0.94263,0.59945,0.88743,0.47322,0.86019,0.41855,0.8568,0.3828,0.84679
178,0.77544,0.94524,0.59449,0.88954,0.47785,0.86332,0.41832,0.85906,0.39209,0.85139
179,0.77731,0.94752,0.59216,0.88725,0.48504,0.87182,0.41876,0.86279,0.39962,0.85681
180,0.77843,0.94475,0.59166,0.88708,0.4737,0.8696,0.41209,0.86262,0.39353,0.85799
181,0.76993,0.94839,0.5773,0.89136,0.47672,0.86307,0.41113,0.85803,0.39189,0.85189
182,0.77448,0.94284,0.59003,0.88828,0.46271,0.86376,0.40178,0.85679,0.38864,0.85477
183,0.77682,0.9391,0.58806,0.88272,0.47107,0.86561,0.41187,0.85816,0.39424,0.85371
184,0.77905,0.9484,0.5858,0.88841,0.45827,0.86276,0.39961,0.85515,0.37797,0.85326
185,0.76448,0.93798,0.5879,0.88442,0.46431,0.8587,0.41308,0.85512,0.37883,0.84422
186,0.77989,0.94841,0.59509,0.88888,0.46444,0.86207,0.41194,0.85722,0.38928,0.85012
187,0.77068,0.94142,0.5794,0.88408,0.46367,0.86118,0.40386,0.84985,0.37601,0.84561
188,0.79856,0.94845,0.59556,0.88538,0.46519,0.86259,0.40665,0.85381,0.38283,0.85102
189,0.78103,0.94269,0.58782,0.88401,0.46,0.86251,0.40644,0.85571,0.38465,0.85232
190,0.76697,0.9418,0.57558,0.88294,0.47267,0.86393,0.41051,0.8578,0.38786,0.85376
